"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 23:38:35 GMT 2024","Mon Feb 19 23:38:35 GMT 2024","349","tests","create_users_test","TestCreateUser","","","Check response has key job",""
"skipped","Mon Feb 19 23:38:36 GMT 2024","Mon Feb 19 23:38:36 GMT 2024","344","tests","create_users_test","TestCreateUser","","","Check response has key job",""
"skipped","Mon Feb 19 23:38:39 GMT 2024","Mon Feb 19 23:38:40 GMT 2024","360","tests","create_users_test","TestCreateUser","","","POST Create user as {0}",""
"skipped","Mon Feb 19 23:38:37 GMT 2024","Mon Feb 19 23:38:38 GMT 2024","389","tests","create_users_test","TestCreateUser","","","POST Создать пользователя без тела запроса",""
"skipped","Mon Feb 19 23:38:37 GMT 2024","Mon Feb 19 23:38:37 GMT 2024","379","tests","create_users_test","TestCreateUser","","","Check response has key job",""
"skipped","Mon Feb 19 23:38:38 GMT 2024","Mon Feb 19 23:38:39 GMT 2024","359","tests","create_users_test","TestCreateUser","","","POST Create user with None job",""
"passed","Mon Feb 19 23:38:37 GMT 2024","Mon Feb 19 23:38:37 GMT 2024","57","tests","create_users_test","TestCreateUser","","","GET Send request get with body",""
"skipped","Mon Feb 19 23:38:39 GMT 2024","Mon Feb 19 23:38:39 GMT 2024","354","tests","create_users_test","TestCreateUser","","","POST Create user with None name",""
"skipped","Mon Feb 19 23:38:38 GMT 2024","Mon Feb 19 23:38:38 GMT 2024","358","tests","create_users_test","TestCreateUser","","","POST Create user without name",""
"skipped","Mon Feb 19 23:38:37 GMT 2024","Mon Feb 19 23:38:37 GMT 2024","356","tests","create_users_test","TestCreateUser","","","Check response has key job",""
"passed","Mon Feb 19 23:38:35 GMT 2024","Mon Feb 19 23:38:35 GMT 2024","359","tests","create_users_test","TestCreateUser","","","Check format is json",""
"passed","Mon Feb 19 23:38:34 GMT 2024","Mon Feb 19 23:38:35 GMT 2024","399","tests","create_users_test","TestCreateUser","","","POST Create user",""
"skipped","Mon Feb 19 23:38:38 GMT 2024","Mon Feb 19 23:38:38 GMT 2024","363","tests","create_users_test","TestCreateUser","","","POST Create user without job",""
"passed","Mon Feb 19 23:38:35 GMT 2024","Mon Feb 19 23:38:36 GMT 2024","340","tests","create_users_test","TestCreateUser","","","Check response has key job",""
"skipped","Mon Feb 19 23:38:36 GMT 2024","Mon Feb 19 23:38:36 GMT 2024","383","tests","create_users_test","TestCreateUser","","","Check response has key job",""
