"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 20 09:19:07 GMT 2024","Tue Feb 20 09:19:07 GMT 2024","252","tests","create_users_test","TestCreateUser","","","2.5 POST Create user with None job",""
"skipped","Tue Feb 20 09:19:05 GMT 2024","Tue Feb 20 09:19:06 GMT 2024","247","tests","create_users_test","TestCreateUser","","","1.3.3 Check response has key name",""
"skipped","Tue Feb 20 09:19:08 GMT 2024","Tue Feb 20 09:19:08 GMT 2024","238","tests","create_users_test","TestCreateUser","","","2.7 POST Create user as {0}",""
"skipped","Tue Feb 20 09:19:06 GMT 2024","Tue Feb 20 09:19:06 GMT 2024","242","tests","create_users_test","TestCreateUser","","","1.3.4 Check response has key job",""
"skipped","Tue Feb 20 09:19:07 GMT 2024","Tue Feb 20 09:19:08 GMT 2024","247","tests","create_users_test","TestCreateUser","","","2.6 POST Create user with None name",""
"skipped","Tue Feb 20 09:19:08 GMT 2024","Tue Feb 20 09:19:08 GMT 2024","94","tests","create_users_test","TestCreateUser","","","2.8 POST Create user get to http",""
"passed","Tue Feb 20 09:19:05 GMT 2024","Tue Feb 20 09:19:05 GMT 2024","221","tests","create_users_test","TestCreateUser","","","1.3.1 Check response has key id",""
"passed","Tue Feb 20 09:19:05 GMT 2024","Tue Feb 20 09:19:05 GMT 2024","247","tests","create_users_test","TestCreateUser","","","1.1 POST Create user",""
"passed","Tue Feb 20 09:19:06 GMT 2024","Tue Feb 20 09:19:06 GMT 2024","45","tests","create_users_test","TestCreateUser","","","2.1 GET Send request get with body",""
"passed","Tue Feb 20 09:19:06 GMT 2024","Tue Feb 20 09:19:06 GMT 2024","252","tests","create_users_test","TestCreateUser","","","1.5 POST Create user response is not empty",""
"skipped","Tue Feb 20 09:19:07 GMT 2024","Tue Feb 20 09:19:07 GMT 2024","239","tests","create_users_test","TestCreateUser","","","2.3 POST Create user without job",""
"passed","Tue Feb 20 09:19:05 GMT 2024","Tue Feb 20 09:19:05 GMT 2024","246","tests","create_users_test","TestCreateUser","","","1.3.2 Check response has key createdAt",""
"skipped","Tue Feb 20 09:19:06 GMT 2024","Tue Feb 20 09:19:06 GMT 2024","0","tests","create_users_test","TestCreateUser","","","test_post_create_user_key_value_is_in_response[job]",""
"skipped","Tue Feb 20 09:19:07 GMT 2024","Tue Feb 20 09:19:07 GMT 2024","227","tests","create_users_test","TestCreateUser","","","2.4 POST Create user without name",""
"skipped","Tue Feb 20 09:19:06 GMT 2024","Tue Feb 20 09:19:07 GMT 2024","230","tests","create_users_test","TestCreateUser","","","2.2 POST Create user without request body",""
"passed","Tue Feb 20 09:19:05 GMT 2024","Tue Feb 20 09:19:05 GMT 2024","241","tests","create_users_test","TestCreateUser","","","1.2 Check format is json",""
"skipped","Tue Feb 20 09:19:06 GMT 2024","Tue Feb 20 09:19:06 GMT 2024","0","tests","create_users_test","TestCreateUser","","","test_post_create_user_key_value_is_in_response[name]",""
