"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Sep 18 05:58:45 GMT 2024","Wed Sep 18 05:58:46 GMT 2024","233","tests","create_users_test","TestCreateUser","","","2.2 POST Create user without request body",""
"skipped","Wed Sep 18 05:58:44 GMT 2024","Wed Sep 18 05:58:45 GMT 2024","240","tests","create_users_test","TestCreateUser","","","1.3.4 Check response has key job",""
"skipped","Wed Sep 18 05:58:47 GMT 2024","Wed Sep 18 05:58:47 GMT 2024","77","tests","create_users_test","TestCreateUser","","","2.8 POST Create user get to http",""
"passed","Wed Sep 18 05:58:44 GMT 2024","Wed Sep 18 05:58:44 GMT 2024","244","tests","create_users_test","TestCreateUser","","","1.3.2 Check response has key createdAt",""
"skipped","Wed Sep 18 05:58:46 GMT 2024","Wed Sep 18 05:58:46 GMT 2024","270","tests","create_users_test","TestCreateUser","","","2.3 POST Create user without job",""
"skipped","Wed Sep 18 05:58:45 GMT 2024","Wed Sep 18 05:58:45 GMT 2024","237","tests","create_users_test","TestCreateUser","","","1.4.2 Check key value namein response",""
"skipped","Wed Sep 18 05:58:46 GMT 2024","Wed Sep 18 05:58:47 GMT 2024","247","tests","create_users_test","TestCreateUser","","","2.6 POST Create user with None name",""
"skipped","Wed Sep 18 05:58:46 GMT 2024","Wed Sep 18 05:58:46 GMT 2024","250","tests","create_users_test","TestCreateUser","","","2.4 POST Create user without name",""
"skipped","Wed Sep 18 05:58:47 GMT 2024","Wed Sep 18 05:58:47 GMT 2024","236","tests","create_users_test","TestCreateUser","","","2.7 POST Create user as {0}",""
"skipped","Wed Sep 18 05:58:46 GMT 2024","Wed Sep 18 05:58:46 GMT 2024","249","tests","create_users_test","TestCreateUser","","","2.5 POST Create user with None job",""
"passed","Wed Sep 18 05:58:45 GMT 2024","Wed Sep 18 05:58:45 GMT 2024","239","tests","create_users_test","TestCreateUser","","","1.5 POST Create user response is not empty",""
"passed","Wed Sep 18 05:58:45 GMT 2024","Wed Sep 18 05:58:45 GMT 2024","81","tests","create_users_test","TestCreateUser","","","2.1 GET Send request get with body",""
"passed","Wed Sep 18 05:58:44 GMT 2024","Wed Sep 18 05:58:44 GMT 2024","254","tests","create_users_test","TestCreateUser","","","1.3.1 Check response has key id",""
"passed","Wed Sep 18 05:58:43 GMT 2024","Wed Sep 18 05:58:44 GMT 2024","252","tests","create_users_test","TestCreateUser","","","1.2 Check format is json",""
"skipped","Wed Sep 18 05:58:45 GMT 2024","Wed Sep 18 05:58:45 GMT 2024","244","tests","create_users_test","TestCreateUser","","","1.4.1 Check key value jobin response",""
"passed","Wed Sep 18 05:58:43 GMT 2024","Wed Sep 18 05:58:43 GMT 2024","257","tests","create_users_test","TestCreateUser","","","1.1 POST Create user",""
"skipped","Wed Sep 18 05:58:44 GMT 2024","Wed Sep 18 05:58:44 GMT 2024","245","tests","create_users_test","TestCreateUser","","","1.3.3 Check response has key name",""
