"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 11:12:11 GMT 2024","Tue Feb 20 11:12:12 GMT 2024","252","tests","create_users_test","TestCreateUser","","","1.3.1 Check response has key id",""
"skipped","Tue Feb 20 11:12:13 GMT 2024","Tue Feb 20 11:12:13 GMT 2024","254","tests","create_users_test","TestCreateUser","","","1.4.2 Check key value namein response",""
"passed","Tue Feb 20 11:12:12 GMT 2024","Tue Feb 20 11:12:12 GMT 2024","250","tests","create_users_test","TestCreateUser","","","1.3.2 Check response has key createdAt",""
"skipped","Tue Feb 20 11:12:13 GMT 2024","Tue Feb 20 11:12:14 GMT 2024","244","tests","create_users_test","TestCreateUser","","","2.2 POST Create user without request body",""
"skipped","Tue Feb 20 11:12:14 GMT 2024","Tue Feb 20 11:12:15 GMT 2024","240","tests","create_users_test","TestCreateUser","","","2.6 POST Create user with None name",""
"passed","Tue Feb 20 11:12:11 GMT 2024","Tue Feb 20 11:12:11 GMT 2024","267","tests","create_users_test","TestCreateUser","","","1.1 POST Create user",""
"skipped","Tue Feb 20 11:12:12 GMT 2024","Tue Feb 20 11:12:13 GMT 2024","253","tests","create_users_test","TestCreateUser","","","1.3.4 Check response has key job",""
"skipped","Tue Feb 20 11:12:14 GMT 2024","Tue Feb 20 11:12:14 GMT 2024","271","tests","create_users_test","TestCreateUser","","","2.5 POST Create user with None job",""
"skipped","Tue Feb 20 11:12:13 GMT 2024","Tue Feb 20 11:12:13 GMT 2024","250","tests","create_users_test","TestCreateUser","","","1.4.1 Check key value jobin response",""
"skipped","Tue Feb 20 11:12:14 GMT 2024","Tue Feb 20 11:12:14 GMT 2024","251","tests","create_users_test","TestCreateUser","","","2.4 POST Create user without name",""
"passed","Tue Feb 20 11:12:11 GMT 2024","Tue Feb 20 11:12:11 GMT 2024","253","tests","create_users_test","TestCreateUser","","","1.2 Check format is json",""
"skipped","Tue Feb 20 11:12:14 GMT 2024","Tue Feb 20 11:12:14 GMT 2024","242","tests","create_users_test","TestCreateUser","","","2.3 POST Create user without job",""
"skipped","Tue Feb 20 11:12:12 GMT 2024","Tue Feb 20 11:12:12 GMT 2024","252","tests","create_users_test","TestCreateUser","","","1.3.3 Check response has key name",""
"skipped","Tue Feb 20 11:12:15 GMT 2024","Tue Feb 20 11:12:15 GMT 2024","87","tests","create_users_test","TestCreateUser","","","2.8 POST Create user get to http",""
"passed","Tue Feb 20 11:12:13 GMT 2024","Tue Feb 20 11:12:13 GMT 2024","60","tests","create_users_test","TestCreateUser","","","2.1 GET Send request get with body",""
"skipped","Tue Feb 20 11:12:15 GMT 2024","Tue Feb 20 11:12:15 GMT 2024","251","tests","create_users_test","TestCreateUser","","","2.7 POST Create user as {0}",""
"passed","Tue Feb 20 11:12:13 GMT 2024","Tue Feb 20 11:12:13 GMT 2024","253","tests","create_users_test","TestCreateUser","","","1.5 POST Create user response is not empty",""
