"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 20 06:56:26 GMT 2024","Tue Feb 20 06:56:26 GMT 2024","241","tests","create_users_test","TestCreateUser","","","POST Create user with None name",""
"passed","Tue Feb 20 06:56:25 GMT 2024","Tue Feb 20 06:56:25 GMT 2024","47","tests","create_users_test","TestCreateUser","","","GET Send request get with body",""
"skipped","Tue Feb 20 06:56:25 GMT 2024","Tue Feb 20 06:56:25 GMT 2024","245","tests","create_users_test","TestCreateUser","","","POST Create user without request body",""
"passed","Tue Feb 20 06:56:23 GMT 2024","Tue Feb 20 06:56:23 GMT 2024","247","tests","create_users_test","TestCreateUser","","","Check format is json",""
"skipped","Tue Feb 20 06:56:24 GMT 2024","Tue Feb 20 06:56:24 GMT 2024","245","tests","create_users_test","TestCreateUser","","","Check response has key name",""
"passed","Tue Feb 20 06:56:23 GMT 2024","Tue Feb 20 06:56:24 GMT 2024","230","tests","create_users_test","TestCreateUser","","","Check response has key id",""
"skipped","Tue Feb 20 06:56:24 GMT 2024","Tue Feb 20 06:56:25 GMT 2024","237","tests","create_users_test","TestCreateUser","","","Check response has key value name",""
"skipped","Tue Feb 20 06:56:25 GMT 2024","Tue Feb 20 06:56:25 GMT 2024","228","tests","create_users_test","TestCreateUser","","","Check response has key value job",""
"skipped","Tue Feb 20 06:56:26 GMT 2024","Tue Feb 20 06:56:27 GMT 2024","65","tests","create_users_test","TestCreateUser","","","POST Create user get to http",""
"passed","Tue Feb 20 06:56:23 GMT 2024","Tue Feb 20 06:56:23 GMT 2024","250","tests","create_users_test","TestCreateUser","","","POST Create user",""
"skipped","Tue Feb 20 06:56:25 GMT 2024","Tue Feb 20 06:56:25 GMT 2024","244","tests","create_users_test","TestCreateUser","","","POST Create user without job",""
"passed","Tue Feb 20 06:56:24 GMT 2024","Tue Feb 20 06:56:24 GMT 2024","253","tests","create_users_test","TestCreateUser","","","Check response has key createdAt",""
"skipped","Tue Feb 20 06:56:26 GMT 2024","Tue Feb 20 06:56:26 GMT 2024","227","tests","create_users_test","TestCreateUser","","","POST Create user as {0}",""
"skipped","Tue Feb 20 06:56:26 GMT 2024","Tue Feb 20 06:56:26 GMT 2024","244","tests","create_users_test","TestCreateUser","","","POST Create user without name",""
"skipped","Tue Feb 20 06:56:26 GMT 2024","Tue Feb 20 06:56:26 GMT 2024","242","tests","create_users_test","TestCreateUser","","","POST Create user with None job",""
"passed","Tue Feb 20 06:56:27 GMT 2024","Tue Feb 20 06:56:27 GMT 2024","243","tests","create_users_test","TestCreateUser","","","POST Create user response is not empty",""
"skipped","Tue Feb 20 06:56:24 GMT 2024","Tue Feb 20 06:56:24 GMT 2024","242","tests","create_users_test","TestCreateUser","","","Check response has key job",""
